Bin Capacity,Total Items,Bins Required,Execution Time
10,10,8,0
10,100,46,0
10,1000,480,2
10,10000,4539,9
20,10,7,0
20,100,55,0
20,1000,501,1
20,10000,4750,13
30,10,8,0
30,100,52,0
30,1000,504,0
30,10000,4918,8
40,10,6,0
40,100,56,0
40,1000,512,0
40,10000,4992,9
50,10,7,0
50,100,61,0
50,1000,528,0
50,10000,5034,9
60,10,5,0
60,100,60,0
60,1000,518,0
60,10000,5079,8
70,10,5,0
70,100,57,0
70,1000,534,1
70,10000,5057,9
80,10,7,0
80,100,60,0
80,1000,515,0
80,10000,5072,8
90,10,7,0
90,100,57,0
90,1000,491,0
90,10000,5089,9
100,10,5,0
100,100,56,0
100,1000,511,0
100,10000,5107,9
